Country,Year,Value,Age
Thailand,1997,361509,15 to 64 years old
Thailand,1998,374426,15 to 64 years old
Thailand,1999,413080,15 to 64 years old
Thailand,2000,422856,15 to 64 years old
Thailand,2001,414699,15 to 64 years old
Thailand,2002,429201,15 to 64 years old
Thailand,2003,434763,15 to 64 years old
Thailand,2004,431127,15 to 64 years old
Thailand,2005,427340,15 to 64 years old
Thailand,2006,435704,15 to 64 years old
Thailand,2007,446033,15 to 64 years old
Thailand,2008,452862,15 to 64 years old
Thailand,2009,454675,15 to 64 years old
Thailand,2010,465567,15 to 64 years old
Thailand,2011,465616,15 to 64 years old
Thailand,2012,460123,15 to 64 years old
Thailand,2013,445941,15 to 64 years old
Thailand,2014,441151,15 to 64 years old
Thailand,2015,438808,15 to 64 years old
Thailand,2016,451858,15 to 64 years old
Thailand,2017,458113,15 to 64 years old
Thailand,2018,468933,15 to 64 years old
Thailand,2019,485869,15 to 64 years old
Singapore,1990,13169,More than 64 years old
Singapore,1991,12653,More than 64 years old
Singapore,1992,12323,More than 64 years old
Singapore,1993,12173,More than 64 years old
Singapore,1994,12276,More than 64 years old
Singapore,1995,12423,More than 64 years old
Singapore,1996,12500,More than 64 years old
Singapore,1997,12555,More than 64 years old
Singapore,1998,12785,More than 64 years old
Singapore,1999,12718,More than 64 years old
Singapore,2000,12637,More than 64 years old
Singapore,2001,12385,More than 64 years old
Singapore,2002,12027,More than 64 years old
Singapore,2003,11707,More than 64 years old
Singapore,2004,11494,More than 64 years old
Singapore,2005,10974,More than 64 years old
Singapore,2006,10887,More than 64 years old
Singapore,2007,10880,More than 64 years old
Singapore,2008,10780,More than 64 years old
Singapore,2009,10619,More than 64 years old
Singapore,2010,10561,More than 64 years old
Singapore,2011,10822,More than 64 years old
Singapore,2012,11797,More than 64 years old
Singapore,2013,12832,More than 64 years old
Singapore,2014,13919,More than 64 years old
Singapore,2015,14699,More than 64 years old
Singapore,2016,15055,More than 64 years old
Singapore,2017,15541,More than 64 years old
Singapore,2018,16672,More than 64 years old
Singapore,2019,17843,More than 64 years old
Thailand,1990,139929,More than 64 years old
Thailand,1991,150789,More than 64 years old
Thailand,1992,160516,More than 64 years old
Thailand,1993,169035,More than 64 years old
Thailand,1994,179170,More than 64 years old
Thailand,1995,188224,More than 64 years old
Thailand,1996,197564,More than 64 years old
Thailand,1997,195516,More than 64 years old
Thailand,1998,211511,More than 64 years old
Thailand,1999,230781,More than 64 years old
Thailand,2000,235633,More than 64 years old
Thailand,2001,228382,More than 64 years old
Thailand,2002,237106,More than 64 years old
Thailand,2003,242947,More than 64 years old
Thailand,2004,259162,More than 64 years old
Thailand,2005,271477,More than 64 years old
Thailand,2006,278806,More than 64 years old
Thailand,2007,286954,More than 64 years old
Thailand,2008,295380,More than 64 years old
Thailand,2009,300745,More than 64 years old
Thailand,2010,309549,More than 64 years old
Thailand,2011,309849,More than 64 years old
Thailand,2012,306354,More than 64 years old
Thailand,2013,303793,More than 64 years old
Thailand,2014,306662,More than 64 years old
Thailand,2015,313973,More than 64 years old
Thailand,2016,327456,More than 64 years old
Thailand,2017,339189,More than 64 years old
Thailand,2018,360095,More than 64 years old
Thailand,2019,385079,More than 64 years old
Timor-Leste,1990,3832,All
Timor-Leste,1991,3812,All
Timor-Leste,1992,3798,All
Timor-Leste,1993,3747,All
Timor-Leste,1994,3637,All
Timor-Leste,1995,3521,All
Timor-Leste,1996,3388,All
Timor-Leste,1997,3220,All
Timor-Leste,1998,3120,All
Timor-Leste,1999,3045,All
Timor-Leste,2000,2964,All
Timor-Leste,2001,2969,All
Timor-Leste,2002,3122,All
Timor-Leste,2003,3409,All
Timor-Leste,2004,3618,All
Timor-Leste,2005,3825,All
Timor-Leste,2006,3930,All
Timor-Leste,2007,4233,All
Timor-Leste,2008,4453,All
Timor-Leste,2009,4805,All
Timor-Leste,2010,5075,All
Timor-Leste,2011,5369,All
Timor-Leste,2012,5625,All
Timor-Leste,2013,5801,All
Timor-Leste,2014,6036,All
Timor-Leste,2015,6324,All
Timor-Leste,2016,6565,All
Timor-Leste,2017,6705,All
Timor-Leste,2018,6869,All
Timor-Leste,2019,7031,All
Timor-Leste,1990,3278,Less than 15 years old
Timor-Leste,1991,3245,Less than 15 years old
Timor-Leste,1992,3207,Less than 15 years old
Timor-Leste,1993,3133,Less than 15 years old
Timor-Leste,1994,3010,Less than 15 years old
Timor-Leste,1995,2875,Less than 15 years old
Timor-Leste,1996,2729,Less than 15 years old
Timor-Leste,1997,2557,Less than 15 years old
Timor-Leste,1998,2428,Less than 15 years old
Timor-Leste,1999,2325,Less than 15 years old
Timor-Leste,2000,2199,Less than 15 years old
Timor-Leste,2001,2143,Less than 15 years old
Timor-Leste,2002,2192,Less than 15 years old
Timor-Leste,2003,2320,Less than 15 years old
Timor-Leste,2004,2395,Less than 15 years old
Timor-Leste,2005,2427,Less than 15 years old
Timor-Leste,2006,2364,Less than 15 years old
Timor-Leste,2007,2425,Less than 15 years old
Timor-Leste,2008,2412,Less than 15 years old
Timor-Leste,2009,2447,Less than 15 years old
Timor-Leste,2010,2424,Less than 15 years old
Timor-Leste,2011,2399,Less than 15 years old
Timor-Leste,2012,2386,Less than 15 years old
Timor-Leste,2013,2322,Less than 15 years old
Timor-Leste,2014,2318,Less than 15 years old
Timor-Leste,2015,2347,Less than 15 years old
Timor-Leste,2016,2377,Less than 15 years old
Timor-Leste,2017,2309,Less than 15 years old
Timor-Leste,2018,2273,Less than 15 years old
Timor-Leste,2019,2257,Less than 15 years old
Timor-Leste,1990,393,15 to 64 years old
Timor-Leste,1991,397,15 to 64 years old
Timor-Leste,1992,411,15 to 64 years old
Timor-Leste,1993,421,15 to 64 years old
Timor-Leste,1994,423,15 to 64 years old
Timor-Leste,1995,430,15 to 64 years old
Timor-Leste,1996,428,15 to 64 years old
Timor-Leste,1997,419,15 to 64 years old
Timor-Leste,1998,428,15 to 64 years old
Timor-Leste,1999,437,15 to 64 years old
Timor-Leste,2000,470,15 to 64 years old
Timor-Leste,2001,500,15 to 64 years old
Timor-Leste,2002,554,15 to 64 years old
Timor-Leste,2003,645,15 to 64 years old
Timor-Leste,2004,706,15 to 64 years old
Timor-Leste,2005,815,15 to 64 years old
Timor-Leste,2006,900,15 to 64 years old
Timor-Leste,2007,1033,15 to 64 years old
Timor-Leste,2008,1140,15 to 64 years old
Timor-Leste,2009,1305,15 to 64 years old
Timor-Leste,2010,1399,15 to 64 years old
Timor-Leste,2011,1563,15 to 64 years old
Timor-Leste,2012,1700,15 to 64 years old
Timor-Leste,2013,1839,15 to 64 years old
Timor-Leste,2014,2018,15 to 64 years old
Timor-Leste,2015,2062,15 to 64 years old
Timor-Leste,2016,2171,15 to 64 years old
Timor-Leste,2017,2277,15 to 64 years old
Timor-Leste,2018,2386,15 to 64 years old
Timor-Leste,2019,2485,15 to 64 years old
Timor-Leste,1990,162,More than 64 years old
Timor-Leste,1991,170,More than 64 years old
Timor-Leste,1992,180,More than 64 years old
Timor-Leste,1993,192,More than 64 years old
Timor-Leste,1994,204,More than 64 years old
Timor-Leste,1995,216,More than 64 years old
Timor-Leste,1996,230,More than 64 years old
Timor-Leste,1997,244,More than 64 years old
Timor-Leste,1998,264,More than 64 years old
Timor-Leste,1999,284,More than 64 years old
Timor-Leste,2000,296,More than 64 years old
Timor-Leste,2001,326,More than 64 years old
Timor-Leste,2002,376,More than 64 years old
Timor-Leste,2003,444,More than 64 years old
Timor-Leste,2004,516,More than 64 years old
Timor-Leste,2005,584,More than 64 years old
Timor-Leste,2006,665,More than 64 years old
Timor-Leste,2007,775,More than 64 years old
Timor-Leste,2008,900,More than 64 years old
Timor-Leste,2009,1053,More than 64 years old
Timor-Leste,2010,1252,More than 64 years old
Timor-Leste,2011,1407,More than 64 years old
Timor-Leste,2012,1539,More than 64 years old
Timor-Leste,2013,1641,More than 64 years old
Timor-Leste,2014,1700,More than 64 years old
Timor-Leste,2015,1915,More than 64 years old
Timor-Leste,2016,2017,More than 64 years old
Timor-Leste,2017,2119,More than 64 years old
Timor-Leste,2018,2210,More than 64 years old
Timor-Leste,2019,2289,More than 64 years old
Vietnam,1990,342430,All
Vietnam,1991,350301,All
Vietnam,1992,357957,All
Vietnam,1993,365935,All
Vietnam,1994,374453,All
Vietnam,1995,383786,All
Vietnam,1996,395156,All
Vietnam,1997,409228,All
Vietnam,1998,426244,All
Vietnam,1999,446739,All
Vietnam,2000,469787,All
Vietnam,2001,500912,All
Vietnam,2002,536469,All
Vietnam,2003,578049,All
Vietnam,2004,622451,All
Vietnam,2005,665150,All
Vietnam,2006,711401,All
Vietnam,2007,769100,All
Vietnam,2008,826509,All
Vietnam,2009,875529,All
Vietnam,2010,902644,All
Vietnam,2011,915552,All
Vietnam,2012,920272,All
Vietnam,2013,923415,All
Vietnam,2014,924660,All
Vietnam,2015,927081,All
Vietnam,2016,933747,All
Vietnam,2017,946108,All
Vietnam,2018,972360,All
Vietnam,2019,1012307,All
Vietnam,1990,138045,Less than 15 years old
Vietnam,1991,135541,Less than 15 years old
Vietnam,1992,131936,Less than 15 years old
Vietnam,1993,127572,Less than 15 years old
Vietnam,1994,122604,Less than 15 years old
Vietnam,1995,117554,Less than 15 years old
Vietnam,1996,112812,Less than 15 years old
Vietnam,1997,108638,Less than 15 years old
Vietnam,1998,105359,Less than 15 years old
Vietnam,1999,102963,Less than 15 years old
Vietnam,2000,101124,Less than 15 years old
Vietnam,2001,100084,Less than 15 years old
Vietnam,2002,100206,Less than 15 years old
Vietnam,2003,103197,Less than 15 years old
Vietnam,2004,106205,Less than 15 years old
Vietnam,2005,107209,Less than 15 years old
Vietnam,2006,107621,Less than 15 years old
Vietnam,2007,108600,Less than 15 years old
Vietnam,2008,109502,Less than 15 years old
Vietnam,2009,108873,Less than 15 years old
Vietnam,2010,106471,Less than 15 years old
Vietnam,2011,101229,Less than 15 years old
Vietnam,2012,94325,Less than 15 years old
Vietnam,2013,87040,Less than 15 years old
Vietnam,2014,79320,Less than 15 years old
Vietnam,2015,73248,Less than 15 years old
Vietnam,2016,66441,Less than 15 years old
Vietnam,2017,60277,Less than 15 years old
Vietnam,2018,55856,Less than 15 years old
Vietnam,2019,52943,Less than 15 years old
Vietnam,1990,108668,15 to 64 years old
Vietnam,1991,113709,15 to 64 years old
Vietnam,1992,119075,15 to 64 years old
Vietnam,1993,124718,15 to 64 years old
Vietnam,1994,130662,15 to 64 years old
Vietnam,1995,136384,15 to 64 years old
Vietnam,1996,142818,15 to 64 years old
Vietnam,1997,150100,15 to 64 years old
Vietnam,1998,158462,15 to 64 years old
Vietnam,1999,168404,15 to 64 years old
Vietnam,2000,179435,15 to 64 years old
Vietnam,2001,196278,15 to 64 years old
Vietnam,2002,215156,15 to 64 years old
Vietnam,2003,236155,15 to 64 years old
Vietnam,2004,259529,15 to 64 years old
Vietnam,2005,283449,15 to 64 years old
Vietnam,2006,310822,15 to 64 years old
Vietnam,2007,346798,15 to 64 years old
Vietnam,2008,383990,15 to 64 years old
Vietnam,2009,418629,15 to 64 years old
Vietnam,2010,440921,15 to 64 years old
Vietnam,2011,457741,15 to 64 years old
Vietnam,2012,470844,15 to 64 years old
Vietnam,2013,483606,15 to 64 years old
Vietnam,2014,494575,15 to 64 years old
Vietnam,2015,508487,15 to 64 years old
Vietnam,2016,515778,15 to 64 years old
Vietnam,2017,526094,15 to 64 years old
Vietnam,2018,542744,15 to 64 years old
Vietnam,2019,565676,15 to 64 years old
Vietnam,1990,95717,More than 64 years old
Vietnam,1991,101051,More than 64 years old
Vietnam,1992,106947,More than 64 years old
Vietnam,1993,113645,More than 64 years old
Vietnam,1994,121187,More than 64 years old
Vietnam,1995,129848,More than 64 years old
Vietnam,1996,139527,More than 64 years old
Vietnam,1997,150490,More than 64 years old
Vietnam,1998,162423,More than 64 years old
Vietnam,1999,175372,More than 64 years old
Vietnam,2000,189228,More than 64 years old
Vietnam,2001,204550,More than 64 years old
Vietnam,2002,221107,More than 64 years old
Vietnam,2003,238697,More than 64 years old
Vietnam,2004,256718,More than 64 years old
Vietnam,2005,274492,More than 64 years old
Vietnam,2006,292958,More than 64 years old
Vietnam,2007,313702,More than 64 years old
Vietnam,2008,333017,More than 64 years old
Vietnam,2009,348026,More than 64 years old
Vietnam,2010,355253,More than 64 years old
Vietnam,2011,356583,More than 64 years old
Vietnam,2012,355103,More than 64 years old
Vietnam,2013,352769,More than 64 years old
Vietnam,2014,350765,More than 64 years old
Vietnam,2015,345346,More than 64 years old
Vietnam,2016,351529,More than 64 years old
Vietnam,2017,359737,More than 64 years old
Vietnam,2018,373761,More than 64 years old
Vietnam,2019,393688,More than 64 years old
